I	0	3191131	8652	8652	3191131	0.0027113
I	3191131	11208076	950	950	8016945	0.0001185
I	11208076	15540809	13453	13453	4332733	0.0031050
II	0	3409913	11945	11945	3409913	0.0035030
II	3409913	13987718	14912	14912	10577805	0.0014097
II	13987718	16595099	13816	13816	2607381	0.0052988
III	0	3964862	12144	12144	3964862	0.0030629
III	3964862	11824006	1960	1960	7859144	0.0002494
III	11824006	14810976	4129	4129	2986970	0.0013823
IV	0	4248176	4699	4699	4248176	0.0011061
IV	4248176	13442121	11929	11929	9193945	0.0012975
IV	13442121	17080301	11420	11420	3638180	0.0031389
V	0	6061896	16559	16559	6061896	0.0027317
V	6061896	15495394	6912	6912	9433498	0.0007327
V	15495394	19933398	13144	13144	4438004	0.0029617
X	0	7065899	10298	10298	7065899	0.0014574
X	7065899	18521883	5080	5080	11455984	0.0004434
X	18521883	22220885	5427	5427	3699002	0.0014672
