I	0	3858000	15631	15631	3858000	0.0040516
I	3858000	11040000	7369	7369	7182000	0.0010260
I	11040000	15072434	14283	14283	4032434	0.0035420
II	0	4879000	28154	28154	4879000	0.0057704
II	4879000	12020000	7904	7904	7141000	0.0011068
II	12020000	15279421	13309	13309	3259421	0.0040832
III	0	3722000	16757	16757	3722000	0.0045021
III	3722000	10340000	5361	5361	6618000	0.0008101
III	10340000	13783801	11286	11286	3443801	0.0032772
IV	0	3896000	13067	13067	3896000	0.0033540
IV	3896000	12970000	11624	11624	9074000	0.0012810
IV	12970000	17493829	13969	13969	4523829	0.0030879
V	0	5897000	27221	27221	5897000	0.0046161
V	5897000	16550000	31213	31213	10653000	0.0029300
V	16550000	20924180	34247	34247	4374180	0.0078294
X	0	6137000	11184	11184	6137000	0.0018224
X	6137000	12480000	6391	6391	6343000	0.0010076
X	12480000	17718942	7363	7363	5238942	0.0014054
