I	0	3191131	27668	27668	3191131	0.0086703
I	3191131	11208076	31426	31426	8016945	0.0039199
I	11208076	15540809	44724	44724	4332733	0.0103224
II	0	3409913	39845	39845	3409913	0.0116850
II	3409913	13987718	68629	68629	10577805	0.0064880
II	13987718	16595099	27750	27750	2607381	0.0106429
III	0	3964862	43760	43760	3964862	0.0110370
III	3964862	11824006	32776	32776	7859144	0.0041704
III	11824006	14810976	29888	29888	2986970	0.0100061
IV	0	4248176	37729	37729	4248176	0.0088812
IV	4248176	13442121	51391	51391	9193945	0.0055897
IV	13442121	17080301	42565	42565	3638180	0.0116995
V	0	6061896	61231	61231	6061896	0.0101010
V	6061896	15495394	49160	49160	9433498	0.0052112
V	15495394	19933398	47490	47490	4438004	0.0107008
X	0	7065899	62625	62625	7065899	0.0088630
X	7065899	18521883	63315	63315	11455984	0.0055268
X	18521883	22220885	25230	25230	3699002	0.0068208
