I	0	3858000	19458	19458	3858000	0.0050435
I	3858000	11040000	18780	18780	7182000	0.0026149
I	11040000	15072434	37372	37372	4032434	0.0092679
II	0	4879000	48711	48711	4879000	0.0099838
II	4879000	12020000	20892	20892	7141000	0.0029256
II	12020000	15279421	22092	22092	3259421	0.0067779
III	0	3722000	34633	34633	3722000	0.0093049
III	3722000	10340000	17477	17477	6618000	0.0026408
III	10340000	13783801	21873	21873	3443801	0.0063514
IV	0	3896000	30070	30070	3896000	0.0077182
IV	3896000	12970000	28887	28887	9074000	0.0031835
IV	12970000	17493829	21725	21725	4523829	0.0048023
V	0	5897000	110762	110762	5897000	0.0187828
V	5897000	16550000	116356	116356	10653000	0.0109224
V	16550000	20924180	95315	95315	4374180	0.0217904
X	0	6137000	21760	21760	6137000	0.0035457
X	6137000	12480000	22687	22687	6343000	0.0035767
X	12480000	17718942	22247	22247	5238942	0.0042465
